month,entity,account_category,amount,currency,amount_usd
2023-01,ParentCo,Revenue,400000,USD,400000.0
2023-01,ParentCo,COGS,56000,USD,56000.0
2023-01,ParentCo,Opex:Marketing,72000,USD,72000.0
2023-01,ParentCo,Opex:Sales,44000,USD,44000.0
2023-01,ParentCo,Opex:R&D,32000,USD,32000.0
2023-01,ParentCo,Opex:Admin,24000,USD,24000.0
2023-01,EMEA,Revenue,103000,EUR,111755.0
2023-01,EMEA,COGS,15450,EUR,16763.25
2023-01,EMEA,Opex:Marketing,14420,EUR,15645.699999999999
2023-01,EMEA,Opex:Sales,9270,EUR,10057.949999999999
2023-01,EMEA,Opex:Admin,5150,EUR,5587.75
2023-02,ParentCo,Revenue,441000,USD,441000.0
2023-02,ParentCo,COGS,61740,USD,61740.0
2023-02,ParentCo,Opex:Marketing,79380,USD,79380.0
2023-02,ParentCo,Opex:Sales,48510,USD,48510.0
2023-02,ParentCo,Opex:R&D,35280,USD,35280.0
2023-02,ParentCo,Opex:Admin,26460,USD,26460.0
2023-02,EMEA,Revenue,113400,EUR,123832.8
2023-02,EMEA,COGS,17010,EUR,18574.920000000002
2023-02,EMEA,Opex:Marketing,15876,EUR,17336.592
2023-02,EMEA,Opex:Sales,10206,EUR,11144.952000000001
2023-02,EMEA,Opex:Admin,5670,EUR,6191.64
2023-03,ParentCo,Revenue,467250,USD,467250.0
2023-03,ParentCo,COGS,65415,USD,65415.0
2023-03,ParentCo,Opex:Marketing,84105,USD,84105.0
2023-03,ParentCo,Opex:Sales,51399,USD,51399.0
2023-03,ParentCo,Opex:R&D,37380,USD,37380.0
2023-03,ParentCo,Opex:Admin,28035,USD,28035.0
2023-03,EMEA,Revenue,116640,EUR,125737.92000000001
2023-03,EMEA,COGS,17496,EUR,18860.688000000002
2023-03,EMEA,Opex:Marketing,16330,EUR,17603.74
2023-03,EMEA,Opex:Sales,10498,EUR,11316.844000000001
2023-03,EMEA,Opex:Admin,5832,EUR,6286.896000000001
2023-04,ParentCo,Revenue,456750,USD,456750.0
2023-04,ParentCo,COGS,63945,USD,63945.0
2023-04,ParentCo,Opex:Marketing,82215,USD,82215.0
2023-04,ParentCo,Opex:Sales,50243,USD,50243.0
2023-04,ParentCo,Opex:R&D,36540,USD,36540.0
2023-04,ParentCo,Opex:Admin,27405,USD,27405.0
2023-04,EMEA,Revenue,120960,EUR,133418.88
2023-04,EMEA,COGS,18144,EUR,20012.832
2023-04,EMEA,Opex:Marketing,16934,EUR,18678.202
2023-04,EMEA,Opex:Sales,10886,EUR,12007.258
2023-04,EMEA,Opex:Admin,6048,EUR,6670.9439999999995
2023-05,ParentCo,Revenue,488250,USD,488250.0
2023-05,ParentCo,COGS,68355,USD,68355.0
2023-05,ParentCo,Opex:Marketing,87885,USD,87885.0
2023-05,ParentCo,Opex:Sales,53708,USD,53708.0
2023-05,ParentCo,Opex:R&D,39060,USD,39060.0
2023-05,ParentCo,Opex:Admin,29295,USD,29295.0
2023-05,EMEA,Revenue,127440,EUR,138782.16
2023-05,EMEA,COGS,19116,EUR,20817.324
2023-05,EMEA,Opex:Marketing,17842,EUR,19429.938
2023-05,EMEA,Opex:Sales,11470,EUR,12490.83
2023-05,EMEA,Opex:Admin,6372,EUR,6939.108
2023-06,ParentCo,Revenue,514500,USD,514500.0
2023-06,ParentCo,COGS,72030,USD,72030.0
2023-06,ParentCo,Opex:Marketing,92610,USD,92610.0
2023-06,ParentCo,Opex:Sales,56595,USD,56595.0
2023-06,ParentCo,Opex:R&D,41160,USD,41160.0
2023-06,ParentCo,Opex:Admin,30870,USD,30870.0
2023-06,EMEA,Revenue,124200,EUR,136123.2
2023-06,EMEA,COGS,18630,EUR,20418.480000000003
2023-06,EMEA,Opex:Marketing,17388,EUR,19057.248000000003
2023-06,EMEA,Opex:Sales,11178,EUR,12251.088000000002
2023-06,EMEA,Opex:Admin,6210,EUR,6806.160000000001
2023-07,ParentCo,Revenue,509250,USD,509250.0
2023-07,ParentCo,COGS,71295,USD,71295.0
2023-07,ParentCo,Opex:Marketing,91665,USD,91665.0
2023-07,ParentCo,Opex:Sales,56018,USD,56018.0
2023-07,ParentCo,Opex:R&D,40740,USD,40740.0
2023-07,ParentCo,Opex:Admin,30555,USD,30555.0
2023-07,EMEA,Revenue,135000,EUR,150120.0
2023-07,EMEA,COGS,20250,EUR,22518.000000000004
2023-07,EMEA,Opex:Marketing,18900,EUR,21016.800000000003
2023-07,EMEA,Opex:Sales,12150,EUR,13510.800000000001
2023-07,EMEA,Opex:Admin,6750,EUR,7506.000000000001
2023-08,ParentCo,Revenue,535500,USD,535500.0
2023-08,ParentCo,COGS,74970,USD,74970.0
2023-08,ParentCo,Opex:Marketing,96390,USD,96390.0
2023-08,ParentCo,Opex:Sales,58905,USD,58905.0
2023-08,ParentCo,Opex:R&D,42840,USD,42840.0
2023-08,ParentCo,Opex:Admin,32130,USD,32130.0
2023-08,EMEA,Revenue,142560,EUR,154962.72
2023-08,EMEA,COGS,21384,EUR,23244.408
2023-08,EMEA,Opex:Marketing,19958,EUR,21694.345999999998
2023-08,EMEA,Opex:Sales,12830,EUR,13946.21
2023-08,EMEA,Opex:Admin,7128,EUR,7748.1359999999995
2023-09,ParentCo,Revenue,519750,USD,519750.0
2023-09,ParentCo,COGS,72765,USD,72765.0
2023-09,ParentCo,Opex:Marketing,93555,USD,93555.0
2023-09,ParentCo,Opex:Sales,57173,USD,57173.0
2023-09,ParentCo,Opex:R&D,41580,USD,41580.0
2023-09,ParentCo,Opex:Admin,31185,USD,31185.0
2023-09,EMEA,Revenue,138240,EUR,151787.52000000002
2023-09,EMEA,COGS,20736,EUR,22768.128
2023-09,EMEA,Opex:Marketing,19354,EUR,21250.692000000003
2023-09,EMEA,Opex:Sales,12442,EUR,13661.316
2023-09,EMEA,Opex:Admin,6912,EUR,7589.376
2023-10,ParentCo,Revenue,546000,USD,546000.0
2023-10,ParentCo,COGS,76440,USD,76440.0
2023-10,ParentCo,Opex:Marketing,98280,USD,98280.0
2023-10,ParentCo,Opex:Sales,60060,USD,60060.0
2023-10,ParentCo,Opex:R&D,43680,USD,43680.0
2023-10,ParentCo,Opex:Admin,32760,USD,32760.0
2023-10,EMEA,Revenue,149040,EUR,160367.04
2023-10,EMEA,COGS,22356,EUR,24055.056
2023-10,EMEA,Opex:Marketing,20866,EUR,22451.816000000003
2023-10,EMEA,Opex:Sales,13414,EUR,14433.464000000002
2023-10,EMEA,Opex:Admin,7452,EUR,8018.352000000001
2023-11,ParentCo,Revenue,561750,USD,561750.0
2023-11,ParentCo,COGS,78645,USD,78645.0
2023-11,ParentCo,Opex:Marketing,101115,USD,101115.0
2023-11,ParentCo,Opex:Sales,61793,USD,61793.0
2023-11,ParentCo,Opex:R&D,44940,USD,44940.0
2023-11,ParentCo,Opex:Admin,33705,USD,33705.0
2023-11,EMEA,Revenue,153360,EUR,167315.76
2023-11,EMEA,COGS,23004,EUR,25097.363999999998
2023-11,EMEA,Opex:Marketing,21470,EUR,23423.77
2023-11,EMEA,Opex:Sales,13802,EUR,15057.982
2023-11,EMEA,Opex:Admin,7668,EUR,8365.788
2023-12,ParentCo,Revenue,588000,USD,588000.0
2023-12,ParentCo,COGS,82320,USD,82320.0
2023-12,ParentCo,Opex:Marketing,105840,USD,105840.0
2023-12,ParentCo,Opex:Sales,64680,USD,64680.0
2023-12,ParentCo,Opex:R&D,47040,USD,47040.0
2023-12,ParentCo,Opex:Admin,35280,USD,35280.0
2023-12,EMEA,Revenue,156600,EUR,173043.0
2023-12,EMEA,COGS,23490,EUR,25956.45
2023-12,EMEA,Opex:Marketing,21924,EUR,24226.02
2023-12,EMEA,Opex:Sales,14094,EUR,15573.869999999999
2023-12,EMEA,Opex:Admin,7830,EUR,8652.15
2024-01,ParentCo,Revenue,572250,USD,572250.0
2024-01,ParentCo,COGS,80115,USD,80115.0
2024-01,ParentCo,Opex:Marketing,103005,USD,103005.0
2024-01,ParentCo,Opex:Sales,62947,USD,62947.0
2024-01,ParentCo,Opex:R&D,45780,USD,45780.0
2024-01,ParentCo,Opex:Admin,34335,USD,34335.0
2024-01,EMEA,Revenue,159840,EUR,173106.72
2024-01,EMEA,COGS,23976,EUR,25966.007999999998
2024-01,EMEA,Opex:Marketing,22378,EUR,24235.374
2024-01,EMEA,Opex:Sales,14384,EUR,15577.872
2024-01,EMEA,Opex:Admin,7992,EUR,8655.336
2024-02,ParentCo,Revenue,603750,USD,603750.0
2024-02,ParentCo,COGS,84525,USD,84525.0
2024-02,ParentCo,Opex:Marketing,108675,USD,108675.0
2024-02,ParentCo,Opex:Sales,66413,USD,66413.0
2024-02,ParentCo,Opex:R&D,48300,USD,48300.0
2024-02,ParentCo,Opex:Admin,36225,USD,36225.0
2024-02,EMEA,Revenue,164160,EUR,179591.04
2024-02,EMEA,COGS,24624,EUR,26938.656000000003
2024-02,EMEA,Opex:Marketing,22982,EUR,25142.308
2024-02,EMEA,Opex:Sales,14774,EUR,16162.756000000001
2024-02,EMEA,Opex:Admin,8208,EUR,8979.552000000001
2024-03,ParentCo,Revenue,624750,USD,624750.0
2024-03,ParentCo,COGS,87465,USD,87465.0
2024-03,ParentCo,Opex:Marketing,112455,USD,112455.0
2024-03,ParentCo,Opex:Sales,68723,USD,68723.0
2024-03,ParentCo,Opex:R&D,49980,USD,49980.0
2024-03,ParentCo,Opex:Admin,37485,USD,37485.0
2024-03,EMEA,Revenue,170640,EUR,187874.63999999998
2024-03,EMEA,COGS,25596,EUR,28181.196
2024-03,EMEA,Opex:Marketing,23890,EUR,26302.89
2024-03,EMEA,Opex:Sales,15358,EUR,16909.158
2024-03,EMEA,Opex:Admin,8532,EUR,9393.732
2024-04,ParentCo,Revenue,609000,USD,609000.0
2024-04,ParentCo,COGS,85260,USD,85260.0
2024-04,ParentCo,Opex:Marketing,109620,USD,109620.0
2024-04,ParentCo,Opex:Sales,66990,USD,66990.0
2024-04,ParentCo,Opex:R&D,48720,USD,48720.0
2024-04,ParentCo,Opex:Admin,36540,USD,36540.0
2024-04,EMEA,Revenue,174960,EUR,190356.48
2024-04,EMEA,COGS,26244,EUR,28553.472
2024-04,EMEA,Opex:Marketing,24494,EUR,26649.472
2024-04,EMEA,Opex:Sales,15746,EUR,17131.648
2024-04,EMEA,Opex:Admin,8748,EUR,9517.824
2024-05,ParentCo,Revenue,645750,USD,645750.0
2024-05,ParentCo,COGS,90405,USD,90405.0
2024-05,ParentCo,Opex:Marketing,116235,USD,116235.0
2024-05,ParentCo,Opex:Sales,71033,USD,71033.0
2024-05,ParentCo,Opex:R&D,51660,USD,51660.0
2024-05,ParentCo,Opex:Admin,38745,USD,38745.0
2024-05,EMEA,Revenue,178200,EUR,195129.0
2024-05,EMEA,COGS,26730,EUR,29269.35
2024-05,EMEA,Opex:Marketing,24948,EUR,27318.059999999998
2024-05,EMEA,Opex:Sales,16038,EUR,17561.61
2024-05,EMEA,Opex:Admin,8910,EUR,9756.449999999999
2024-06,ParentCo,Revenue,667750,USD,667750.0
2024-06,ParentCo,COGS,93485,USD,93485.0
2024-06,ParentCo,Opex:Marketing,120195,USD,120195.0
2024-06,ParentCo,Opex:Sales,73453,USD,73453.0
2024-06,ParentCo,Opex:R&D,53420,USD,53420.0
2024-06,ParentCo,Opex:Admin,40065,USD,40065.0
2024-06,EMEA,Revenue,185760,EUR,205636.32
2024-06,EMEA,COGS,27864,EUR,30845.448
2024-06,EMEA,Opex:Marketing,26006,EUR,28788.642
2024-06,EMEA,Opex:Sales,16718,EUR,18506.826
2024-06,EMEA,Opex:Admin,9288,EUR,10281.816
2024-07,ParentCo,Revenue,651000,USD,651000.0
2024-07,ParentCo,COGS,91140,USD,91140.0
2024-07,ParentCo,Opex:Marketing,117180,USD,117180.0
2024-07,ParentCo,Opex:Sales,71610,USD,71610.0
2024-07,ParentCo,Opex:R&D,52080,USD,52080.0
2024-07,ParentCo,Opex:Admin,39060,USD,39060.0
2024-07,EMEA,Revenue,181440,EUR,196680.96000000002
2024-07,EMEA,COGS,27216,EUR,29502.144
2024-07,EMEA,Opex:Marketing,25402,EUR,27535.768000000004
2024-07,EMEA,Opex:Sales,16330,EUR,17701.72
2024-07,EMEA,Opex:Admin,9072,EUR,9834.048
2024-08,ParentCo,Revenue,687750,USD,687750.0
2024-08,ParentCo,COGS,96285,USD,96285.0
2024-08,ParentCo,Opex:Marketing,123795,USD,123795.0
2024-08,ParentCo,Opex:Sales,75653,USD,75653.0
2024-08,ParentCo,Opex:R&D,55020,USD,55020.0
2024-08,ParentCo,Opex:Admin,41265,USD,41265.0
2024-08,EMEA,Revenue,192240,EUR,211271.76
2024-08,EMEA,COGS,28836,EUR,31690.764
2024-08,EMEA,Opex:Marketing,26914,EUR,29578.486
2024-08,EMEA,Opex:Sales,17302,EUR,19014.898
2024-08,EMEA,Opex:Admin,9612,EUR,10563.588
2024-09,ParentCo,Revenue,672000,USD,672000.0
2024-09,ParentCo,COGS,94080,USD,94080.0
2024-09,ParentCo,Opex:Marketing,120960,USD,120960.0
2024-09,ParentCo,Opex:Sales,73920,USD,73920.0
2024-09,ParentCo,Opex:R&D,53760,USD,53760.0
2024-09,ParentCo,Opex:Admin,40320,USD,40320.0
2024-09,EMEA,Revenue,189000,EUR,206388.00000000003
2024-09,EMEA,COGS,28350,EUR,30958.2
2024-09,EMEA,Opex:Marketing,26460,EUR,28894.320000000003
2024-09,EMEA,Opex:Sales,17010,EUR,18574.920000000002
2024-09,EMEA,Opex:Admin,9450,EUR,10319.400000000001
2024-10,ParentCo,Revenue,708750,USD,708750.0
2024-10,ParentCo,COGS,99225,USD,99225.0
2024-10,ParentCo,Opex:Marketing,127575,USD,127575.0
2024-10,ParentCo,Opex:Sales,77963,USD,77963.0
2024-10,ParentCo,Opex:R&D,56700,USD,56700.0
2024-10,ParentCo,Opex:Admin,42525,USD,42525.0
2024-10,EMEA,Revenue,196560,EUR,213464.16
2024-10,EMEA,COGS,29484,EUR,32019.624000000003
2024-10,EMEA,Opex:Marketing,27518,EUR,29884.548000000003
2024-10,EMEA,Opex:Sales,17690,EUR,19211.34
2024-10,EMEA,Opex:Admin,9828,EUR,10673.208
2024-11,ParentCo,Revenue,719250,USD,719250.0
2024-11,ParentCo,COGS,100695,USD,100695.0
2024-11,ParentCo,Opex:Marketing,129465,USD,129465.0
2024-11,ParentCo,Opex:Sales,79013,USD,79013.0
2024-11,ParentCo,Opex:R&D,57540,USD,57540.0
2024-11,ParentCo,Opex:Admin,43155,USD,43155.0
2024-11,EMEA,Revenue,199800,EUR,220179.6
2024-11,EMEA,COGS,29970,EUR,33026.94
2024-11,EMEA,Opex:Marketing,27972,EUR,30825.144000000004
2024-11,EMEA,Opex:Sales,17982,EUR,19816.164
2024-11,EMEA,Opex:Admin,9990,EUR,11008.980000000001
2024-12,ParentCo,Revenue,745500,USD,745500.0
2024-12,ParentCo,COGS,104370,USD,104370.0
2024-12,ParentCo,Opex:Marketing,134190,USD,134190.0
2024-12,ParentCo,Opex:Sales,82005,USD,82005.0
2024-12,ParentCo,Opex:R&D,59640,USD,59640.0
2024-12,ParentCo,Opex:Admin,44730,USD,44730.0
2024-12,EMEA,Revenue,207360,EUR,226229.75999999998
2024-12,EMEA,COGS,31104,EUR,33934.464
2024-12,EMEA,Opex:Marketing,29030,EUR,31671.73
2024-12,EMEA,Opex:Sales,18662,EUR,20360.242
2024-12,EMEA,Opex:Admin,10368,EUR,11311.488
2025-01,ParentCo,Revenue,729750,USD,729750.0
2025-01,ParentCo,COGS,102165,USD,102165.0
2025-01,ParentCo,Opex:Marketing,131355,USD,131355.0
2025-01,ParentCo,Opex:Sales,80273,USD,80273.0
2025-01,ParentCo,Opex:R&D,58380,USD,58380.0
2025-01,ParentCo,Opex:Admin,43785,USD,43785.0
2025-01,EMEA,Revenue,203040,EUR,222734.88
2025-01,EMEA,COGS,30456,EUR,33410.231999999996
2025-01,EMEA,Opex:Marketing,28426,EUR,31183.322
2025-01,EMEA,Opex:Sales,18274,EUR,20046.578
2025-01,EMEA,Opex:Admin,10152,EUR,11136.744
2025-02,ParentCo,Revenue,761250,USD,761250.0
2025-02,ParentCo,COGS,106575,USD,106575.0
2025-02,ParentCo,Opex:Marketing,137025,USD,137025.0
2025-02,ParentCo,Opex:Sales,83738,USD,83738.0
2025-02,ParentCo,Opex:R&D,60900,USD,60900.0
2025-02,ParentCo,Opex:Admin,45675,USD,45675.0
2025-02,EMEA,Revenue,210600,EUR,228079.8
2025-02,EMEA,COGS,31590,EUR,34211.97
2025-02,EMEA,Opex:Marketing,29484,EUR,31931.172
2025-02,EMEA,Opex:Sales,18954,EUR,20527.182
2025-02,EMEA,Opex:Admin,10530,EUR,11403.99
2025-03,ParentCo,Revenue,784500,USD,784500.0
2025-03,ParentCo,COGS,109830,USD,109830.0
2025-03,ParentCo,Opex:Marketing,141210,USD,141210.0
2025-03,ParentCo,Opex:Sales,86295,USD,86295.0
2025-03,ParentCo,Opex:R&D,62760,USD,62760.0
2025-03,ParentCo,Opex:Admin,47070,USD,47070.0
2025-03,EMEA,Revenue,213840,EUR,236079.36000000002
2025-03,EMEA,COGS,32076,EUR,35411.904
2025-03,EMEA,Opex:Marketing,29938,EUR,33051.552
2025-03,EMEA,Opex:Sales,19246,EUR,21247.584000000003
2025-03,EMEA,Opex:Admin,10692,EUR,11803.968
2025-04,ParentCo,Revenue,766500,USD,766500.0
2025-04,ParentCo,COGS,107310,USD,107310.0
2025-04,ParentCo,Opex:Marketing,137970,USD,137970.0
2025-04,ParentCo,Opex:Sales,84315,USD,84315.0
2025-04,ParentCo,Opex:R&D,61320,USD,61320.0
2025-04,ParentCo,Opex:Admin,45990,USD,45990.0
2025-04,EMEA,Revenue,218160,EUR,237576.24
2025-04,EMEA,COGS,32724,EUR,35636.436
2025-04,EMEA,Opex:Marketing,30542,EUR,33260.238
2025-04,EMEA,Opex:Sales,19634,EUR,21381.426
2025-04,EMEA,Opex:Admin,10908,EUR,11878.812
2025-05,ParentCo,Revenue,803250,USD,803250.0
2025-05,ParentCo,COGS,112455,USD,112455.0
2025-05,ParentCo,Opex:Marketing,144585,USD,144585.0
2025-05,ParentCo,Opex:Sales,88358,USD,88358.0
2025-05,ParentCo,Opex:R&D,64260,USD,64260.0
2025-05,ParentCo,Opex:Admin,48195,USD,48195.0
2025-05,EMEA,Revenue,221400,EUR,242433.0
2025-05,EMEA,COGS,33210,EUR,36364.95
2025-05,EMEA,Opex:Marketing,31000,EUR,33945.0
2025-05,EMEA,Opex:Sales,19926,EUR,21818.97
2025-05,EMEA,Opex:Admin,11070,EUR,12121.65
2025-06,ParentCo,Revenue,819000,USD,819000.0
2025-06,ParentCo,COGS,114660,USD,114660.0
2025-06,ParentCo,Opex:Marketing,147420,USD,147420.0
2025-06,ParentCo,Opex:Sales,90090,USD,90090.0
2025-06,ParentCo,Opex:R&D,65520,USD,65520.0
2025-06,ParentCo,Opex:Admin,49140,USD,49140.0
2025-06,EMEA,Revenue,228960,EUR,253687.68000000002
2025-06,EMEA,COGS,34344,EUR,38053.152
2025-06,EMEA,Opex:Marketing,32054,EUR,35515.832
2025-06,EMEA,Opex:Sales,20606,EUR,22831.448
2025-06,EMEA,Opex:Admin,11448,EUR,12684.384000000002
2025-07,ParentCo,Revenue,803250,USD,803250.0
2025-07,ParentCo,COGS,112455,USD,112455.0
2025-07,ParentCo,Opex:Marketing,144585,USD,144585.0
2025-07,ParentCo,Opex:Sales,88358,USD,88358.0
2025-07,ParentCo,Opex:R&D,64260,USD,64260.0
2025-07,ParentCo,Opex:Admin,48195,USD,48195.0
2025-07,EMEA,Revenue,224640,EUR,244183.68
2025-07,EMEA,COGS,33696,EUR,36627.551999999996
2025-07,EMEA,Opex:Marketing,31450,EUR,34186.15
2025-07,EMEA,Opex:Sales,20218,EUR,21976.966
2025-07,EMEA,Opex:Admin,11232,EUR,12209.184
2025-08,ParentCo,Revenue,834750,USD,834750.0
2025-08,ParentCo,COGS,116865,USD,116865.0
2025-08,ParentCo,Opex:Marketing,150255,USD,150255.0
2025-08,ParentCo,Opex:Sales,91823,USD,91823.0
2025-08,ParentCo,Opex:R&D,66780,USD,66780.0
2025-08,ParentCo,Opex:Admin,50085,USD,50085.0
2025-08,EMEA,Revenue,235440,EUR,259219.44
2025-08,EMEA,COGS,35316,EUR,38882.916
2025-08,EMEA,Opex:Marketing,32962,EUR,36291.162
2025-08,EMEA,Opex:Sales,21190,EUR,23330.19
2025-08,EMEA,Opex:Admin,11772,EUR,12960.972
2025-09,ParentCo,Revenue,819000,USD,819000.0
2025-09,ParentCo,COGS,114660,USD,114660.0
2025-09,ParentCo,Opex:Marketing,147420,USD,147420.0
2025-09,ParentCo,Opex:Sales,90090,USD,90090.0
2025-09,ParentCo,Opex:R&D,65520,USD,65520.0
2025-09,ParentCo,Opex:Admin,49140,USD,49140.0
2025-09,EMEA,Revenue,232200,EUR,253794.6
2025-09,EMEA,COGS,34830,EUR,38069.19
2025-09,EMEA,Opex:Marketing,32508,EUR,35531.244
2025-09,EMEA,Opex:Sales,20898,EUR,22841.514
2025-09,EMEA,Opex:Admin,11610,EUR,12689.73
2025-10,ParentCo,Revenue,856250,USD,856250.0
2025-10,ParentCo,COGS,119875,USD,119875.0
2025-10,ParentCo,Opex:Marketing,154125,USD,154125.0
2025-10,ParentCo,Opex:Sales,94188,USD,94188.0
2025-10,ParentCo,Opex:R&D,68500,USD,68500.0
2025-10,ParentCo,Opex:Admin,51375,USD,51375.0
2025-10,EMEA,Revenue,243000,EUR,264384.0
2025-10,EMEA,COGS,36450,EUR,39657.600000000006
2025-10,EMEA,Opex:Marketing,34020,EUR,37013.76
2025-10,EMEA,Opex:Sales,21870,EUR,23794.56
2025-10,EMEA,Opex:Admin,12150,EUR,13219.2
2025-11,ParentCo,Revenue,866250,USD,866250.0
2025-11,ParentCo,COGS,121275,USD,121275.0
2025-11,ParentCo,Opex:Marketing,155925,USD,155925.0
2025-11,ParentCo,Opex:Sales,95288,USD,95288.0
2025-11,ParentCo,Opex:R&D,69300,USD,69300.0
2025-11,ParentCo,Opex:Admin,51975,USD,51975.0
2025-11,EMEA,Revenue,246240,EUR,272341.44
2025-11,EMEA,COGS,36936,EUR,40851.216
2025-11,EMEA,Opex:Marketing,34474,EUR,38128.244000000006
2025-11,EMEA,Opex:Sales,22162,EUR,24511.172000000002
2025-11,EMEA,Opex:Admin,12312,EUR,13617.072000000002
2025-12,ParentCo,Revenue,892500,USD,892500.0
2025-12,ParentCo,COGS,124950,USD,124950.0
2025-12,ParentCo,Opex:Marketing,160650,USD,160650.0
2025-12,ParentCo,Opex:Sales,98175,USD,98175.0
2025-12,ParentCo,Opex:R&D,71400,USD,71400.0
2025-12,ParentCo,Opex:Admin,53550,USD,53550.0
2025-12,EMEA,Revenue,253800,EUR,277657.2
2025-12,EMEA,COGS,38070,EUR,41648.58
2025-12,EMEA,Opex:Marketing,35532,EUR,38872.008
2025-12,EMEA,Opex:Sales,22842,EUR,24989.148
2025-12,EMEA,Opex:Admin,12690,EUR,13882.86
